date,listeners,streams,followers
2020-03-16,62,1095,111
2020-03-15,43,917,110
2020-03-14,64,1086,110
2020-03-13,54,912,110
2020-03-12,61,819,110
2020-03-11,57,656,110
2020-03-10,62,911,110
2020-03-09,58,988,110
2020-03-08,60,397,110
2020-03-07,66,684,110
2020-03-06,76,975,110
2020-03-05,63,666,110
2020-03-04,60,929,110
2020-03-03,77,562,110
2020-03-02,75,1131,110
2020-03-01,68,932,110
2020-02-29,77,1208,110
2020-02-28,61,591,110
2020-02-27,85,788,110
2020-02-26,65,1100,110
2020-02-25,63,1131,110
2020-02-24,60,796,110
2020-02-23,63,318,110
2020-02-22,65,339,110
2020-02-21,61,708,110
2020-02-20,63,726,110
2020-02-19,68,672,110
2020-02-18,70,1141,110
2020-02-17,66,745,110
2020-02-16,61,798,110
2020-02-15,58,761,110
2020-02-14,66,384,110
2020-02-13,62,562,110
2020-02-12,64,866,110
2020-02-11,78,633,110
2020-02-10,63,932,110
2020-02-09,63,849,110
2020-02-08,67,1068,110
2020-02-07,53,967,110
2020-02-06,74,1181,110
2020-02-05,69,909,110
2020-02-04,61,634,109
2020-02-03,61,614,109
2020-02-02,73,1028,109
2020-02-01,66,340,109
2020-01-31,72,504,109
2020-01-30,66,470,109
2020-01-29,66,678,109
2020-01-28,55,404,109
2020-01-27,66,309,109
2020-01-26,49,654,109
2020-01-25,63,746,109
2020-01-24,70,1072,109
2020-01-23,60,952,109
2020-01-22,61,1081,109
2020-01-21,65,948,109
2020-01-20,53,597,109
2020-01-19,70,730,108
2020-01-18,54,447,108
2020-01-17,55,523,108
2020-01-16,71,202,108
2020-01-15,71,416,108
2020-01-14,66,671,108
2020-01-13,73,563,108
2020-01-12,55,332,109
2020-01-11,70,817,109
2020-01-10,55,283,109
2020-01-09,55,485,109
2020-01-08,66,339,109
2020-01-07,61,543,109
2020-01-06,58,1089,109
2020-01-05,64,861,109
2020-01-04,57,849,109
2020-01-03,48,517,108
2020-01-02,53,368,108
2020-01-01,37,121,108
2019-12-31,69,394,108
2019-12-30,76,220,108
2019-12-29,58,672,108
2019-12-28,56,393,109
2019-12-27,43,777,109
2019-12-26,44,460,108
2019-12-25,47,162,108
2019-12-24,39,570,108
2019-12-23,44,223,108
2019-12-22,51,98,108
2019-12-21,44,378,108
2019-12-20,54,232,107
2019-12-19,48,122,107
2019-12-18,52,421,107
2019-12-17,67,184,107
2019-12-16,52,614,107
2019-12-15,50,174,107
2019-12-14,52,118,107
2019-12-13,50,761,107
2019-12-12,47,541,107
2019-12-11,65,275,107
2019-12-10,64,222,107
2019-12-09,70,186,107
2019-12-08,49,459,107
2019-12-07,47,253,107
2019-12-06,72,394,108
2019-12-05,66,548,108
2019-12-04,60,159,108
2019-12-03,70,496,108
2019-12-02,63,499,108
2019-12-01,55,518,108
2019-11-30,60,264,108
2019-11-29,62,469,108
2019-11-28,68,195,108
2019-11-27,66,405,108
2019-11-26,65,375,108
2019-11-25,65,797,108
2019-11-24,48,887,108
2019-11-23,66,818,108
2019-11-22,46,464,108
2019-11-21,74,513,108
2019-11-20,69,335,108
2019-11-19,62,442,108
2019-11-18,61,532,108
2019-11-17,62,324,108
2019-11-16,48,328,108
2019-11-15,56,244,108
2019-11-14,58,567,108
2019-11-13,62,554,108
2019-11-12,100,670,108
2019-11-11,191,1491,108
2019-11-10,58,882,108
2019-11-09,63,564,107
2019-11-08,60,887,107
2019-11-07,58,708,107
2019-11-06,64,624,107
2019-11-05,61,741,107
2019-11-04,65,380,107
2019-11-03,67,1039,107
2019-11-02,54,634,107
2019-11-01,50,488,107
2019-10-31,76,531,107
2019-10-30,48,625,107
2019-10-29,45,494,107
2019-10-28,49,459,107
2019-10-27,54,751,107
2019-10-26,53,951,107
2019-10-25,51,643,106
2019-10-24,56,740,106
2019-10-23,63,412,106
2019-10-22,46,705,106
2019-10-21,65,647,106
2019-10-20,50,467,106
2019-10-19,45,904,106
2019-10-18,51,1279,105
2019-10-17,35,676,105
2019-10-16,48,843,105
2019-10-15,59,581,105
2019-10-14,66,755,105
2019-10-13,51,583,105
2019-10-12,46,996,105
2019-10-11,56,833,105
2019-10-10,60,393,105
2019-10-09,67,578,105
2019-10-08,72,519,105
2019-10-07,73,730,105
2019-10-06,60,395,105
2019-10-05,65,923,105
2019-10-04,58,734,105
2019-10-03,64,384,105
2019-10-02,54,692,105
2019-10-01,66,399,104
2019-09-30,51,491,104
2019-09-29,39,518,104
2019-09-28,54,551,104
2019-09-27,42,690,104
2019-09-26,53,874,104
2019-09-25,52,651,104
2019-09-24,44,482,104
2019-09-23,59,857,104
2019-09-22,57,1080,103
2019-09-21,47,812,103
2019-09-20,50,935,103
2019-09-19,47,1004,102
2019-09-18,52,665,103
2019-09-17,48,553,103
2019-09-16,52,409,103
2019-09-15,42,1112,103
2019-09-14,45,1229,103
2019-09-13,52,1670,103
2019-09-12,47,546,103
2019-09-11,39,365,103
2019-09-10,42,622,103
2019-09-09,51,342,103
2019-09-08,48,297,103
2019-09-07,37,353,103
2019-09-06,45,744,103
2019-09-05,39,662,103
2019-09-04,38,455,103
2019-09-03,52,952,103
2019-09-02,48,396,103
2019-09-01,50,327,103
2019-08-31,45,292,103
2019-08-30,46,894,103
2019-08-29,45,698,103
2019-08-28,47,844,103
2019-08-27,48,826,103
2019-08-26,44,1341,103
2019-08-25,45,458,103
2019-08-24,54,339,103
2019-08-23,68,481,103
2019-08-22,39,1155,103
2019-08-21,45,764,103
2019-08-20,50,599,103
2019-08-19,45,410,103
2019-08-18,43,594,103
2019-08-17,40,1323,103
2019-08-16,43,296,102
2019-08-15,47,397,102
2019-08-14,46,525,102
2019-08-13,41,1052,102
2019-08-12,45,1004,102
2019-08-11,39,1031,102
2019-08-10,35,371,102
2019-08-09,38,516,102
2019-08-08,41,828,102
2019-08-07,44,580,100
2019-08-06,42,717,100
2019-08-05,41,1162,100
2019-08-04,36,505,99
2019-08-03,46,1048,99
2019-08-02,31,518,99
2019-08-01,42,314,99
2019-07-31,50,595,99
2019-07-30,45,682,98
2019-07-29,36,573,98
2019-07-28,51,532,97
2019-07-27,48,1020,95
2019-07-26,45,704,95
2019-07-25,46,353,95
2019-07-24,40,873,94
2019-07-23,41,845,94
2019-07-22,54,1117,94
2019-07-21,38,678,94
2019-07-20,50,619,94
2019-07-19,48,411,94
2019-07-18,40,264,94
2019-07-17,35,583,94
2019-07-16,36,998,94
2019-07-15,39,434,94
2019-07-14,35,243,94
2019-07-13,31,676,94
2019-07-12,29,303,94
2019-07-11,29,1076,94