date;listeners;streams;followers
2020-03-16;62;1095;111
2020-03-15;43;917;110
2020-03-14;64;1086;110
2020-03-13;54;912;110
2020-03-12;61;819;110
2020-03-11;57;656;110
2020-03-10;62;911;110
2020-03-09;58;988;110
2020-03-08;60;397;110
2020-03-07;66;684;110
2020-03-06;76;975;110
2020-03-05;63;666;110
2020-03-04;60;929;110
2020-03-03;77;562;110
2020-03-02;75;1131;110
2020-03-01;68;932;110
2020-02-29;77;1208;110
2020-02-28;61;591;110
2020-02-27;85;788;110
2020-02-26;65;1100;110
2020-02-25;63;1131;110
2020-02-24;60;796;110
2020-02-23;63;318;110
2020-02-22;65;339;110
2020-02-21;61;708;110
2020-02-20;63;726;110
2020-02-19;68;672;110
2020-02-18;70;1141;110
2020-02-17;66;745;110
2020-02-16;61;798;110
2020-02-15;58;761;110
2020-02-14;66;384;110
2020-02-13;62;562;110
2020-02-12;64;866;110
2020-02-11;78;633;110
2020-02-10;63;932;110
2020-02-09;63;849;110
2020-02-08;67;1068;110
2020-02-07;53;967;110
2020-02-06;74;1181;110
2020-02-05;69;909;110
2020-02-04;61;634;109
2020-02-03;61;614;109
2020-02-02;73;1028;109
2020-02-01;66;340;109
2020-01-31;72;504;109
2020-01-30;66;470;109
2020-01-29;66;678;109
2020-01-28;55;404;109
2020-01-27;66;309;109